primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
L'Age d'Or,L'Âge d'or,0,1930,\N,63,Comedy Drama
City Lights,City Lights,0,1931,\N,87,Comedy Drama Romance
Dracula,Dracula,0,1931,\N,75,Drama Fantasy Horror
Frankenstein,Frankenstein,0,1931,\N,70,Drama Horror Sci-Fi
M,M - Eine Stadt sucht einen Mörder,0,1931,\N,99,Crime Mystery Thriller
Monkey Business,Monkey Business,0,1931,\N,77,Comedy Family Musical
The Public Enemy,The Public Enemy,0,1931,\N,83,Crime Drama
Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,0,1931,\N,98,Horror Sci-Fi
Freaks,Freaks,0,1932,\N,64,Drama Horror
Grand Hotel,Grand Hotel,0,1932,\N,112,Drama Romance
Horse Feathers,Horse Feathers,0,1932,\N,68,Comedy Family Musical
I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,0,1932,\N,92,Crime Drama Film-Noir
The Most Dangerous Game,The Most Dangerous Game,0,1932,\N,63,Action Adventure Horror
Scarface,Scarface,0,1932,\N,93,Action Crime Drama
Shanghai Express,Shanghai Express,0,1932,\N,82,Adventure Drama Film-Noir
The Testament of Dr. Mabuse,Das Testament des Dr. Mabuse,0,1933,\N,122,Crime Mystery Thriller
Trouble in Paradise,Trouble in Paradise,0,1932,\N,83,Comedy Crime Romance
Vampyr,Vampyr,0,1932,\N,75,Fantasy Horror
Baby Face,Baby Face,0,1933,\N,71,Drama Romance
Design for Living,Design for Living,0,1933,\N,91,Comedy Mystery Romance
Dinner at Eight,Dinner at Eight,0,1933,\N,111,Drama
Duck Soup,Duck Soup,0,1933,\N,69,Comedy Musical
42nd Street,42nd Street,0,1933,\N,89,Comedy Drama Musical
Gold Diggers of 1933,Gold Diggers of 1933,0,1933,\N,97,Comedy Drama Musical
The Invisible Man,The Invisible Man,0,1933,\N,71,Horror Sci-Fi
Island of Lost Souls,Island of Lost Souls,0,1932,\N,70,Film-Noir Horror Sci-Fi
King Kong,King Kong,0,1933,\N,100,Adventure Horror
Little Women,Little Women,0,1933,\N,115,Drama Family Romance
Queen Christina,Queen Christina,0,1933,\N,99,Biography Drama History
Sons of the Desert,Sons of the Desert,0,1933,\N,68,Comedy Family
Zero for Conduct,Zéro de conduite,0,1933,\N,47,Drama
L'Atalante,L'Atalante,0,1934,\N,89,Comedy Drama Romance
March of the Wooden Soldiers,Babes in Toyland,0,1934,\N,77,Comedy Family Fantasy
The Gay Divorcee,The Gay Divorcee,0,1934,\N,107,Comedy Musical Romance
It Happened One Night,It Happened One Night,0,1934,\N,105,Comedy Romance
The Scarlet Empress,The Scarlet Empress,0,1934,\N,104,Drama History Romance
The Thin Man,The Thin Man,0,1934,\N,91,Comedy Crime Mystery
Triumph of the Will,Triumph des Willens,0,1935,\N,110,Documentary History
Twentieth Century,Twentieth Century,0,1934,\N,91,Comedy Romance
The 39 Steps,The 39 Steps,0,1935,\N,86,Crime Mystery Thriller
Bride of Frankenstein,The Bride of Frankenstein,0,1935,\N,75,Drama Horror Sci-Fi
