tconst,genres
tt0031867,Thriller
tt0031885,Comedy
tt0031885,Drama
tt0031951,Drama
tt0031951,Horror
tt0031951,Sci-Fi
tt0031971,Adventure
tt0031971,Drama
tt0031971,Western
tt0032138,Adventure
tt0032138,Family
tt0032138,Fantasy
tt0032143,Comedy
tt0032143,Drama
tt0032145,Drama
tt0032145,Romance
tt0032155,Biography
tt0032155,Drama
tt0032156,Drama
tt0032156,Romance
tt0032181,Biography
tt0032181,Drama
tt0032181,History
tt0032186,Comedy
tt0032194,Drama
tt0032194,Romance
tt0032234,Comedy
tt0032284,Musical
tt0032325,Adventure
tt0032325,Mystery
tt0032326,Crime
tt0032326,Drama
tt0032326,Mystery
tt0032338,Comedy
tt0032338,Drama
tt0032338,Romance
tt0032339,Comedy
tt0032339,Family
tt0032342,Drama
tt0032342,Sport
tt0032413,Biography
tt0032413,Drama
tt0032455,Animation
tt0032455,Family
tt0032455,Fantasy
tt0032484,Action
tt0032484,Drama
tt0032484,Romance
tt0032551,Drama
tt0032553,Comedy
tt0032553,Drama
tt0032553,War
tt0032554,Comedy
tt0032599,Comedy
tt0032599,Drama
tt0032599,Romance
tt0032617,Comedy
tt0032617,Romance
tt0032701,Crime
tt0032701,Drama
tt0032701,Film-Noir
tt0032762,Action
tt0032762,Adventure
tt0032762,Family
tt0032811,Drama
tt0032842,Drama
tt0032842,Romance
tt0032842,Thriller
tt0032904,Comedy
tt0032904,Romance
tt0032910,Adventure
tt0032910,Animation
tt0032910,Comedy
tt0032943,Comedy
tt0032943,Drama
tt0032943,Romance
tt0032976,Drama
tt0032976,Mystery
tt0032976,Romance
tt0032981,Comedy
tt0032981,Drama
tt0032981,Romance
tt0033022,Comedy
tt0033028,Action
tt0033028,Adventure
tt0033028,History
tt0033045,Comedy
tt0033045,Drama
tt0033045,Romance
tt0033149,Crime
tt0033149,Drama
tt0033149,Film-Noir
tt0033152,Adventure
tt0033152,Family
tt0033152,Fantasy
tt0033238,Drama
tt0033238,Romance
tt0033238,War
tt0033253,Drama
tt0033253,Western
tt0033317,Action
tt0033317,Adventure
tt0033317,Family
tt0033373,Comedy
tt0033373,Romance
tt0033467,Drama
tt0033467,Mystery
tt0033532,Drama
tt0033532,Fantasy
tt0033532,Romance
tt0033533,Comedy
tt0033533,Romance
tt0033563,Adventure
tt0033563,Animation
tt0033563,Drama
tt0033582,Crime
tt0033582,Drama
tt0033582,Film-Noir
tt0033627,Drama
tt0033627,Thriller
tt0033627,War
tt0033654,Drama
tt0033654,History
tt0033704,Action
tt0033704,Comedy
tt0033704,Musical
tt0033712,Comedy
tt0033712,Fantasy
tt0033712,Romance
tt0033717,Action
tt0033717,Adventure
tt0033717,Drama
tt0033722,Drama
tt0033722,Romance
tt0033723,Comedy
tt0033723,Crime
tt0033723,Horror
tt0033729,Drama
tt0033729,Family
