tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes
tt0028315,Stowaway,Stowaway,0,1936,87
tt0028333,Swing Time,Swing Time,0,1936,103
tt0028355,Theodora Goes Wild,Theodora Goes Wild,0,1936,94
tt0028356,These Three,These Three,0,1936,93
tt0028367,Three Godfathers,Three Godfathers,0,1936,81
tt0028575,Angel,Angel,0,1937,91
tt0028597,The Awful Truth,The Awful Truth,0,1937,90
tt0028683,Camille,Camille,0,1936,109
tt0028691,Captains Courageous,Captains Courageous,0,1937,117
tt0028737,Confession,Confession,0,1937,87
tt0028772,A Day at the Races,A Day at the Races,0,1937,111
tt0028773,Dead End,Dead End,0,1937,93
tt0028816,Easy Living,Easy Living,0,1937,88
tt0028818,The Edge of the World,The Edge of the World,0,1937,74
tt0028944,The Good Earth,The Good Earth,0,1937,138
tt0028950,The Grand Illusion,La grande illusion,0,1937,113
tt0028988,Heidi,Heidi,0,1937,88
tt0029002,History Is Made at Night,History Is Made at Night,0,1937,97
tt0029030,The Hurricane,The Hurricane,0,1937,104
tt0029058,It's Love I'm After,It's Love I'm After,0,1937,90
tt0029080,Kid Galahad,Kid Galahad,0,1937,102
tt0029146,The Life of Emile Zola,The Life of Emile Zola,0,1937,116
tt0029162,Lost Horizon,Lost Horizon,0,1937,132
tt0029192,Make Way for Tomorrow,Make Way for Tomorrow,0,1937,91
tt0029217,Marked Woman,Marked Woman,0,1937,96
tt0029222,Maytime,Maytime,0,1937,132
tt0029284,My Favorite Wife,My Favorite Wife,0,1940,88
tt0029310,Night Must Fall,Night Must Fall,0,1937,116
tt0029314,Humanity and Paper Balloons,Ninjô kami fûsen,0,1937,86
tt0029335,"Oh, Mr. Porter!","Oh, Mr. Porter!",0,1937,85
tt0029440,The Prince and the Pauper,The Prince and the Pauper,0,1937,118
tt0029442,The Prisoner of Zenda,The Prisoner of Zenda,0,1937,101
tt0029453,Pépé le Moko,Pépé le Moko,0,1937,94
tt0029546,Shall We Dance,Shall We Dance,0,1937,109
tt0029583,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,83
tt0029604,Stage Door,Stage Door,0,1937,92
tt0029606,A Star Is Born,A Star Is Born,0,1937,111
tt0029608,Stella Dallas,Stella Dallas,0,1937,106
tt0029658,They Won't Forget,They Won't Forget,0,1937,95
tt0029682,Topper,Topper,0,1937,97
tt0029706,Un carnet de bal,Un carnet de bal,0,1937,144
tt0029747,Way Out West,Way Out West,0,1937,66
tt0029808,You Only Live Once,You Only Live Once,0,1937,86
tt0029843,The Adventures of Robin Hood,The Adventures of Robin Hood,0,1938,102
tt0029850,Alexander Nevsky,Aleksandr Nevskiy,0,1938,112
tt0029870,Angels with Dirty Faces,Angels with Dirty Faces,0,1938,97
tt0029923,Block-Heads,Block-Heads,0,1938,57
tt0029929,Bluebeard's Eighth Wife,Bluebeard's Eighth Wife,0,1938,85
tt0029942,Boys Town,Boys Town,0,1938,96
tt0029947,Bringing Up Baby,Bringing Up Baby,0,1938,102
tt0029957,The Human Beast,La bête humaine,0,1938,100
tt0029992,A Christmas Carol,A Christmas Carol,0,1938,69
tt0030044,The Dawn Patrol,The Dawn Patrol,0,1938,103
tt0030127,The Baker's Wife,La femme du boulanger,0,1938,133
tt0030241,Holiday,Holiday,0,1938,95
tt0030252,Hotel du Nord,Hôtel du Nord,0,1938,83
tt0030265,If I Were King,If I Were King,0,1938,101
tt0030287,Jezebel,Jezebel,0,1938,104
tt0030341,The Lady Vanishes,The Lady Vanishes,0,1938,96
tt0030418,Marie Antoinette,Marie Antoinette,0,1938,149
tt0030442,Merrily We Live,Merrily We Live,0,1938,95
tt0030522,Olympia Part One: Festival of the Nations,Olympia 1. Teil - Fest der Völker,0,1938,111
tt0030523,Olympia Part Two: Festival of Beauty,Olympia 2. Teil - Fest der Schönheit,0,1938,90
tt0030637,Pygmalion,Pygmalion,0,1938,89
tt0030643,Port of Shadows,Le quai des brumes,0,1938,91
tt0030865,Three Comrades,Three Comrades,0,1938,98
tt0030944,Vivacious Lady,Vivacious Lady,0,1938,90
tt0030993,You Can't Take It with You,You Can't Take It with You,0,1938,126
tt0031002,The Young in Heart,The Young in Heart,0,1938,90
tt0031022,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,0,1939,85
tt0031047,Another Thin Man,Another Thin Man,0,1939,103
tt0031058,Ask a Policeman,Ask a Policeman,0,1939,83
tt0031067,Bachelor Mother,Bachelor Mother,0,1939,82
tt0031088,Beau Geste,Beau Geste,0,1939,112
tt0031143,The Cat and the Canary,The Cat and the Canary,0,1939,72
tt0031147,Charlie Chan at Treasure Island,Charlie Chan at Treasure Island,0,1939,74
tt0031210,Dark Victory,Dark Victory,0,1939,104
tt0031225,Destry Rides Again,Destry Rides Again,0,1939,95
tt0031235,Dodge City,Dodge City,0,1939,104
tt0031260,Each Dawn I Die,Each Dawn I Die,0,1939,92
tt0031309,La fin du jour,La fin du jour,0,1939,99
tt0031314,Five Came Back,Five Came Back,0,1939,75
tt0031334,The Four Feathers,The Four Feathers,0,1939,129
tt0031359,Gaslight,Gaslight,0,1940,84
tt0031381,Gone with the Wind,Gone with the Wind,0,1939,238
tt0031385,"Goodbye, Mr. Chips","Goodbye, Mr. Chips",0,1939,114
tt0031398,Gunga Din,Gunga Din,0,1939,117
tt0031448,The Hound of the Baskervilles,The Hound of the Baskervilles,0,1939,80
